from_node,to_node,sequence,lat,lon
3,370,8,23.01805134921728,113.18021586534772
3,370,9,23.018293508291567,113.18008272340336
3,370,10,23.018478865816885,113.18014754988914
3,370,11,23.018678612033774,113.17991394597604
3,370,12,23.01845073547109,113.17975291650436
3,370,13,23.018267507238527,113.17959598958812
3,370,14,23.019154215409184,113.17962112341644
3,370,15,23.019259499870124,113.1796582744958
3,370,16,23.019286723453792,113.17979546570892
3,370,17,23.01925089637946,113.18005944941066
3,370,18,23.01838497684308,113.17826987645874
3,370,19,23.017470747322136,113.17900140455636
4,716,0,23.09038233093425,113.44723704684682
4,716,1,23.09186421132564,113.44607982481362
4,716,2,23.09209931321273,113.44621072581688
4,716,3,23.09219762222782,113.44589363918496
4,716,4,23.09234123195796,113.44563028598375
4,716,5,23.092393586405592,113.4455354764547
4,716,6,23.09226710431025,113.44550956416596
4,716,7,23.09207745774975,113.44560168443464
4,716,8,23.09245791851197,113.44530400792571
4,716,9,23.09259023710858,113.4452357245587
4,716,10,23.09273360912458,113.444871968912
4,716,11,23.09284908279474,113.44460827639196
4,716,12,23.092437516091376,113.44446493689212
4,716,13,23.0923250701149,113.44500325126296
4,716,14,23.092562645024344,113.44559289325171
4,716,15,23.0929059488608,113.4453662476844
4,716,16,23.09297813372737,113.44521059955603
4,716,17,23.093515815343483,113.44445024594644
4,716,18,23.093148921640196,113.4440819936929
4,716,19,23.092481024405377,113.44619880342889
4,33,0,23.078409408016675,113.44283543866378
4,33,1,23.078916681659365,113.44096820481876
4,33,2,23.07873337770816,113.4408328768572
4,33,3,23.07885410218117,113.4407186385827
4,33,4,23.07888121592858,113.44056162841298
4,33,5,23.07895476404636,113.44045616222952
4,33,6,23.078832050504467,113.44036199422423
4,33,7,23.07889310030746,113.44027535067282
4,33,8,23.078863206448528,113.44015293179008
4,33,9,23.078714343412354,113.44014947126566
4,33,10,23.07874700568386,113.44004775293172
4,33,11,23.078731106433636,113.43992156161696
4,33,12,23.07876148074191,113.43980824343797
4,33,13,23.078632814561445,113.43988957548753
4,33,14,23.078452586338283,113.43988069343152
4,33,15,23.078506230784992,113.43964018768447
4,33,16,23.07873365818181,113.43962073590018
4,33,17,23.07894010983401,113.43964858238937
4,33,18,23.0791061137588,113.43967010175258
4,33,19,23.07920384028022,113.4396268029507
4,33,20,23.07916351415734,113.4394841545702
4,33,21,23.079263868342142,113.4395213933939
4,33,22,23.07938186951719,113.43954056592833
4,33,23,23.079438375800944,113.43936854485176
4,33,24,23.07928387718129,113.43936087548028
4,33,25,23.0791518107758,113.43931613546948
4,33,26,23.079067068425093,113.4393912514896
4,33,27,23.079056082543584,113.43950055951676
4,33,28,23.07897188355721,113.43939039779492
4,33,29,23.078859062497287,113.4392545680672
4,33,30,23.07868514018807,113.43919680366872
4,33,31,23.078563553381297,113.43934824940096
4,33,32,23.07843234475238,113.43935708235188
4,33,33,23.07862158585849,113.4391151840687
4,33,34,23.07879088382725,113.43902149142292
4,33,35,23.07886778767844,113.43890093947483
4,33,36,23.078778483207227,113.43874851114283
4,33,37,23.078877841472003,113.4385883763393
4,33,38,23.07900850732503,113.43872559130348
4,33,39,23.07895582050537,113.438969831101
