node_id,lat,lon,type,frequency,ship_count,type_distribution,detailed_type
6570,23.10171526850349,112.54972061074781,waypoint,2,2,{'waypoint': 2},waypoint
6571,23.10157886323246,112.95322483271812,waypoint,2,2,"{'waypoint': 1, 'stop_point': 1}",turn_point
6572,23.10163982333794,113.59494049261113,turn_point,2,1,"{'turn_point': 1, 'stop_point': 1}",turn_point
6573,23.101645275230144,113.59577310498562,turn_point,2,1,"{'turn_point': 1, 'waypoint': 1}",turn_point
6574,23.10242232900439,111.97818384263343,waypoint,2,1,"{'waypoint': 1, 'stop_point': 1}",merge_point
6575,23.102333700467927,112.55069723853013,waypoint,2,2,{'waypoint': 2},waypoint
6576,23.102213296661432,112.95438441877496,waypoint,2,2,{'waypoint': 2},turn_point
6577,23.10239308977734,113.23981876092753,waypoint,2,2,{'waypoint': 2},turn_point
6578,23.102971688364768,112.54925264770958,waypoint,2,2,{'waypoint': 2},turn_point
6579,23.102734053074002,112.55159832974041,waypoint,2,2,{'waypoint': 2},waypoint
6580,23.102826608368964,113.23886863530562,waypoint,2,2,{'waypoint': 2},turn_point
6581,23.102705283334124,113.24014432347829,waypoint,2,2,{'waypoint': 2},turn_point
6582,23.103259413762967,112.95382472996164,waypoint,2,2,{'waypoint': 2},turn_point
6583,23.103203375183497,113.2384928099377,waypoint,2,2,{'waypoint': 2},turn_point
6584,23.103127901590668,113.6006063476425,waypoint,2,2,{'waypoint': 2},waypoint
6585,23.103368561931497,113.63579999031316,waypoint,2,2,{'waypoint': 2},merge_point
6586,23.103679982032393,111.97625906746703,waypoint,2,2,{'waypoint': 2},turn_point
6587,23.103754361731916,112.9519142902066,waypoint,2,1,"{'waypoint': 1, 'stop_point': 1}",waypoint
6588,23.103737467630296,112.95381792561659,waypoint,2,2,{'waypoint': 2},turn_point
6589,23.103631843109255,113.87580764103944,waypoint,2,2,{'waypoint': 2},turn_point
6590,23.104178745074712,112.55215073545932,waypoint,2,2,{'waypoint': 2},waypoint
6591,23.104538949965903,112.95196116880436,waypoint,2,1,{'waypoint': 2},turn_point
6592,23.104350127446377,112.95219020866955,waypoint,2,2,{'waypoint': 2},turn_point
6593,23.104536564595183,113.39370872915333,waypoint,2,1,{'waypoint': 2},turn_point
6594,23.104202614574575,113.60130462183466,waypoint,2,2,{'waypoint': 2},turn_point
6595,23.104563884797418,112.55190057014241,waypoint,2,2,{'waypoint': 2},merge_point
6596,23.104596654824856,112.95319478421526,waypoint,2,2,{'waypoint': 2},turn_point
6597,23.104846144129624,113.60263217075074,waypoint,2,2,{'waypoint': 2},turn_point
6598,23.10540961308196,112.21530259986821,waypoint,2,2,{'waypoint': 2},waypoint
6599,23.105314040690878,112.95253788149193,waypoint,2,2,{'waypoint': 2},turn_point
6600,23.105323184403474,113.601694496315,waypoint,2,2,{'waypoint': 2},turn_point
6601,23.105176603362864,113.60506676351409,waypoint,2,2,{'waypoint': 2},waypoint
6602,23.10527881704849,113.63658627918477,waypoint,2,2,{'waypoint': 2},turn_point
6603,23.10575040487287,112.21274606170138,turn_point,2,1,{'turn_point': 2},turn_point
6604,23.105611372495478,113.23663255608044,waypoint,2,2,{'waypoint': 2},turn_point
6605,23.105522995266135,113.2399176786378,waypoint,2,1,{'waypoint': 2},merge_point
6606,23.105772638867048,113.39186018117371,waypoint,2,2,{'waypoint': 2},turn_point
6607,23.105797433294924,113.60316992293251,waypoint,2,2,{'waypoint': 2},turn_point
6608,23.105734171881508,113.62736997917509,waypoint,2,2,"{'waypoint': 1, 'turn_point': 1}",turn_point
6609,23.106022109972972,113.62884605661483,waypoint,2,1,{'waypoint': 2},merge_point
6610,23.105650739646517,113.62960049065987,waypoint,2,1,{'waypoint': 2},merge_point
6611,23.105643111206817,113.63024187749906,waypoint,2,2,{'waypoint': 2},merge_point
6612,23.105903618219532,113.63231277129051,waypoint,2,1,{'waypoint': 2},merge_point
6613,23.105693940223293,113.63333483466498,waypoint,2,2,{'waypoint': 2},merge_point
6614,23.10584003942494,113.63386121890176,waypoint,2,2,{'waypoint': 2},merge_point
6615,23.106009228688418,113.6344494262837,waypoint,2,1,{'waypoint': 2},merge_point
6616,23.10618077870641,112.55218328066584,waypoint,2,2,{'waypoint': 2},waypoint
6617,23.106509255747337,112.55255998853484,waypoint,2,1,{'waypoint': 2},waypoint
6618,23.106579777410566,112.55444052382597,waypoint,2,1,{'waypoint': 2},waypoint
6619,23.1062495603109,112.94973075179577,turn_point,2,1,"{'turn_point': 1, 'stop_point': 1}",turn_point
6620,23.106188651068727,112.95069697840134,waypoint,2,2,"{'waypoint': 1, 'stop_point': 1}",turn_point
6621,23.106361482655764,112.95168355506588,waypoint,2,2,{'waypoint': 2},turn_point
6622,23.106306932056935,113.60327527921038,waypoint,2,2,{'waypoint': 2},turn_point
6623,23.106320531003824,113.60433560169571,waypoint,2,2,{'waypoint': 2},turn_point
6624,23.106074636289993,113.60536011190338,waypoint,2,2,{'waypoint': 2},turn_point
